State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
IA,Lee County,"35,862","33,657",370,398,-5,-219,-224,11.0,11.8,"4,239","11,035","7,322","3,232",16.4,42.7,28.3,12.5,"1,706","9,902","8,657","3,980",7.0,40.8,35.7,16.4,"4,859",15.0,"1,545",22.1,"1,036","51,089",16949,16708,358,350,16072,16172,904,563,169,159,157,169,17,20,667,573
IA,Linn County,"211,243","226,706","2,734","1,801",168,-149,19,12.1,8.0,"11,667","37,590","40,282","34,357",9.4,30.3,32.5,27.7,"8,290","40,706","51,669","49,890",5.5,27.0,34.3,33.1,"24,600",11.1,"6,669",13.0,"4,229","64,783",111755,114951,3042,3178,100997,104754,9307,8532,871,976,3517,3807,267,264,3810,3865
IA,Louisa County,"11,387","11,035",128,113,17,-151,-134,11.5,10.2,"1,592","3,206","2,036",994,20.3,41.0,26.0,12.7,"1,226","2,909","2,433","1,148",15.9,37.7,31.5,14.9,999,9.2,292,12.2,203,"60,544",5628,5407,78,72,5275,5181,101,69,70,62,249,166,13,8,956,821
IA,Lucas County,"8,900","8,600",118,91,-2,-42,-44,13.7,10.6,"1,323","2,822","1,488",703,20.9,44.5,23.5,11.1,472,"2,458","2,012","1,014",7.9,41.3,33.8,17.0,"1,263",14.9,432,22.5,309,"53,085",4402,4198,43,47,4331,4147,51,34,39,34,22,29,3,2,112,93
IA,Lyon County,"11,581","11,755",171,115,5,-120,-115,14.5,9.8,"1,605","2,890","1,970","1,074",21.3,38.3,26.1,14.2,717,"2,827","2,500","1,577",9.4,37.1,32.8,20.7,858,7.4,301,9.2,212,"66,139",5970,5785,74,71,5881,5699,57,44,74,56,28,48,8,15,199,127
IA,Madison County,"15,681","16,338",158,154,3,126,129,9.7,9.5,"1,149","3,791","2,983","1,331",12.4,41.0,32.2,14.4,634,"4,014","3,643","2,691",5.8,36.6,33.2,24.5,"1,114",6.9,298,7.6,209,"72,578",8202,8136,103,100,8053,7956,107,70,72,64,69,144,6,9,176,187
IA,Mahaska County,"22,382","22,095",266,217,15,15,30,12.1,9.8,"2,521","5,977","3,608","2,398",17.4,41.2,24.9,16.5,"1,170","5,914","4,573","3,287",7.8,39.6,30.6,22.0,"2,316",10.8,676,12.9,467,"59,242",11221,10874,141,130,10710,10489,341,199,96,87,211,219,6,14,294,244
IA,Marion County,"33,307","33,253",340,327,4,-23,-19,10.2,9.8,"3,313","8,390","5,076","3,905",16.0,40.6,24.5,18.9,"1,469","7,504","6,678","6,329",6.7,34.1,30.4,28.8,"2,636",8.2,742,9.6,525,"66,381",16605,16648,218,219,16138,16243,284,199,111,118,281,304,15,16,329,341
IA,Marshall County,"40,648","39,369",514,478,35,-591,-556,13.0,12.1,"4,637","9,745","7,338","4,459",17.7,37.2,28.0,17.0,"4,280","9,062","8,174","4,981",16.2,34.2,30.8,18.8,"4,947",13.0,"1,482",15.2,951,"55,631",19896,19473,378,343,18350,18204,733,500,274,290,871,796,52,46,4762,4303
IA,Mills County,"15,059","15,109",137,134,3,34,37,9.1,8.9,"1,624","3,541","2,923","1,574",16.8,36.6,30.3,16.3,745,"3,519","3,572","2,491",7.2,34.1,34.6,24.1,"1,283",8.8,364,10.6,251,"72,679",7598,7511,98,81,7431,7368,108,67,97,93,44,60,16,11,258,267
IA,Mitchell County,"10,776","10,586",129,123,1,10,11,12.2,11.6,"1,139","3,256","1,985",940,15.6,44.5,27.1,12.8,597,"2,790","2,494","1,383",8.2,38.4,34.3,19.0,961,9.3,323,13.1,226,"61,247",5264,5322,41,48,5205,5236,44,47,29,34,22,50,5,6,97,86
IA,Monona County,"9,242","8,615",86,137,0,7,7,10.0,15.9,"1,295","3,031","1,795",951,18.3,42.9,25.4,13.4,490,"2,434","2,457",970,7.7,38.3,38.7,15.3,"1,028",12.3,287,15.4,198,"53,104",4174,4441,53,45,4059,4316,72,45,67,95,20,24,11,7,96,97
IA,Monroe County,"7,972","7,707",78,79,4,-63,-59,10.1,10.2,960,"2,391","1,369",680,17.8,44.3,25.4,12.6,659,"2,100","1,680",932,12.3,39.1,31.3,17.4,811,10.7,278,16.0,193,"56,397",3828,3879,46,56,3777,3815,56,58,19,32,19,29,3,3,109,98
IA,Montgomery County,"10,740","9,917",107,135,1,-17,-16,10.8,13.6,"1,476","3,304","2,297","1,047",18.2,40.7,28.3,12.9,668,"2,459","2,569","1,290",9.6,35.2,36.8,18.5,"1,279",13.2,401,18.3,267,"52,715",4812,5105,68,65,4720,5023,56,60,71,45,28,37,5,10,236,170
IA,Muscatine County,"42,803","42,664",526,372,47,-412,-365,12.3,8.7,"5,293","9,282","7,690","4,612",19.7,34.5,28.6,17.2,"3,159","10,099","9,214","6,163",11.0,35.3,32.2,21.5,"4,249",10.1,"1,401",13.6,880,"61,767",21355,21309,372,317,20111,20326,935,686,274,259,319,335,95,35,3977,3832
IA,O'Brien County,"14,398","13,753",170,182,1,-33,-32,12.3,13.2,"1,967","3,965","2,745","1,497",19.3,39.0,27.0,14.7,752,"3,823","3,205","1,798",7.9,39.9,33.5,18.8,"1,365",10.1,401,12.4,276,"60,298",6898,6855,74,69,6697,6677,158,108,56,49,58,87,5,5,400,335
IA,Osceola County,"6,462","5,958",59,67,2,-62,-60,9.8,11.2,880,"1,747","1,396",624,18.9,37.6,30.0,13.4,491,"1,555","1,444",760,11.6,36.6,34.0,17.9,544,9.3,178,13.2,130,"60,702",3025,2933,48,33,2930,2858,68,34,35,30,34,38,6,6,278,231
IA,Page County,"15,946","15,107",140,194,1,-68,-67,9.2,12.8,"1,695","4,577","3,452","1,931",14.5,39.3,29.6,16.6,944,"4,061","3,877","2,253",8.5,36.5,34.8,20.2,"2,020",14.9,524,20.4,341,"52,179",8017,7090,133,115,7488,6903,427,118,131,79,87,97,20,11,356,203
IA,Palo Alto County,"9,421","8,886",106,108,12,-27,-15,11.9,12.1,"1,093","2,342","2,330",927,16.3,35.0,34.8,13.9,449,"1,795","2,335","1,566",7.3,29.2,38.0,25.5,952,11.1,276,13.6,186,"55,074",4423,4463,51,62,4254,4306,121,112,39,42,54,60,6,7,153,123
IA,Plymouth County,"24,984","25,177",276,231,17,95,112,11.0,9.2,"2,021","6,254","4,631","3,088",12.6,39.1,29.0,19.3,"1,159","5,696","6,066","3,899",6.9,33.9,36.1,23.2,"1,796",7.2,542,8.7,352,"69,165",12548,12629,146,176,12104,12133,313,245,138,233,98,157,45,42,725,752
IA,Pocahontas County,"7,310","6,619",71,85,0,-81,-81,10.7,12.8,802,"2,394","1,906",900,13.4,39.9,31.8,15.0,381,"1,921","1,844",731,7.8,39.4,37.8,15.0,654,10.1,229,15.9,168,"56,146",3290,3329,60,38,3197,3239,76,43,42,25,19,46,18,14,139,130
IA,Polk County,"430,631","490,161","6,750","3,580",385,777,"1,162",13.8,7.3,"28,402","71,750","70,949","72,357",11.7,29.5,29.1,29.7,"26,967","77,802","96,514","116,749",8.5,24.5,30.3,36.7,"48,468",10.1,"14,168",11.9,"8,569","67,331",241736,248425,6114,5992,210157,217430,21472,20780,2149,2309,14092,13934,374,411,22021,20456
IA,Pottawattamie County,"93,149","93,206","1,110",941,-8,-216,-224,11.9,10.1,"9,101","22,431","16,910","8,571",16.0,39.3,29.7,15.0,"6,658","20,652","22,321","13,567",10.5,32.7,35.3,21.5,"10,002",11.0,"2,853",13.4,"1,877","60,322",45945,47261,917,908,44178,45583,1393,1164,689,664,580,730,81,80,3880,3511
IA,Poweshiek County,"18,915","18,504",166,198,9,61,70,9.0,10.7,"1,615","5,178","3,135","2,248",13.3,42.5,25.7,18.5,730,"4,564","3,595","3,144",6.1,37.9,29.9,26.1,"1,951",11.6,444,12.4,307,"57,741",8992,9512,145,144,8627,9096,221,200,92,80,189,281,23,15,290,297
IA,Ringgold County,"5,130","4,894",52,63,1,-36,-35,10.6,12.8,650,"1,679",944,508,17.2,44.4,25.0,13.4,250,"1,271","1,188",737,7.3,36.9,34.5,21.4,713,15.1,276,25.1,195,"50,890",2427,2467,28,26,2386,2428,33,24,19,21,16,19,3,2,73,59
IA,Sac County,"10,350","9,721",106,117,0,29,29,10.9,12.0,"1,259","3,417","2,191","1,079",15.8,43.0,27.6,13.6,500,"2,562","2,489","1,390",7.2,36.9,35.9,20.0,903,9.5,286,13.1,198,"59,392",4802,4919,60,69,4733,4844,61,59,29,34,32,40,12,13,211,160
IA,Scott County,"165,223","172,943","2,069","1,509",65,-481,-416,12.0,8.7,"13,979","31,372","31,390","25,408",13.7,30.7,30.7,24.9,"8,374","34,586","36,685","37,124",7.2,29.6,31.4,31.8,"20,016",11.8,"5,803",14.5,"3,819","65,724",84922,88021,2633,2807,75279,77815,8487,9024,961,1054,2913,3034,154,144,6157,5870
IA,Shelby County,"12,169","11,454",110,132,-1,-81,-82,9.6,11.5,"1,201","4,113","2,269","1,374",13.4,45.9,25.3,15.3,624,"2,910","2,877","1,825",7.6,35.3,34.9,22.2,970,8.7,260,10.3,174,"60,498",5678,5776,59,51,5536,5643,100,73,49,58,45,46,10,7,200,176
IA,Sioux County,"33,704","34,855",487,254,24,-205,-181,14.0,7.3,"3,569","6,111","4,895","3,597",19.6,33.6,26.9,19.8,"2,022","6,254","6,419","6,030",9.8,30.2,31.0,29.1,"2,272",7.0,692,7.4,487,"71,566",17522,17333,152,142,17061,16962,272,173,134,134,190,204,24,11,2055,1855
IA,Story County,"89,542","97,117",872,526,355,-369,-14,9.0,5.4,"2,725","8,995","11,672","18,756",6.5,21.3,27.7,44.5,"1,445","8,859","14,281","26,227",2.8,17.4,28.1,51.6,"13,727",15.8,"1,263",8.0,788,"64,151",50732,46385,927,872,44302,41537,2070,1670,364,359,4940,3715,56,41,1872,1708
IA,Tama County,"17,767","16,854",219,193,3,-42,-39,13.0,11.4,"1,893","4,906","3,662","1,550",15.8,40.8,30.5,12.9,"1,014","4,652","4,120","1,834",8.7,40.0,35.5,15.8,"2,168",13.1,700,17.6,480,"56,281",8449,8405,241,257,7586,7525,178,124,854,915,71,90,22,22,997,819
IA,Taylor County,"6,317","6,121",70,62,1,-48,-47,11.4,10.1,796,"2,221","1,178",571,16.7,46.6,24.7,12.0,419,"1,641","1,588",617,9.8,38.5,37.2,14.5,753,12.5,241,17.1,168,"51,510",3122,2999,37,29,3075,2952,36,30,31,18,14,25,5,5,269,206
IA,Union County,"12,534","12,241",130,138,4,-53,-49,10.6,11.2,"1,058","3,603","2,453","1,228",12.7,43.2,29.4,14.7,822,"3,000","3,099","1,518",9.7,35.5,36.7,18.0,"1,433",12.1,430,16.1,297,"52,914",5970,6271,65,60,5806,6115,116,106,58,48,59,64,5,6,224,162
IA,Van Buren County,"7,571","7,044",88,96,0,40,40,12.5,13.7,920,"2,462","1,311",629,17.3,46.3,24.6,11.8,542,"1,953","1,798",725,10.8,38.9,35.8,14.4,895,12.8,298,18.8,210,"50,425",3628,3416,53,53,3588,3378,34,33,33,23,28,36,4,2,67,63
IA,Wapello County,"35,624","34,969",436,392,87,-154,-67,12.5,11.2,"4,462","9,616","6,529","3,513",18.5,39.9,27.1,14.6,"2,839","8,369","8,231","4,512",11.9,34.9,34.4,18.8,"4,842",14.2,"1,434",18.5,972,"50,533",17442,17527,278,305,15995,16342,926,715,262,252,359,329,212,214,2084,1814
IA,Warren County,"46,226","51,466",586,439,1,308,309,11.4,8.6,"2,569","9,730","7,985","5,472",10.0,37.8,31.0,21.2,"1,527","10,127","10,749","10,498",4.6,30.8,32.7,31.9,"3,621",7.3,986,7.9,617,"79,557",25384,26082,386,355,24811,25521,446,382,214,195,279,331,68,34,835,772
IA,Washington County,"21,704","21,965",275,225,-1,-142,-143,12.5,10.2,"2,429","5,429","3,746","2,272",17.5,39.1,27.0,16.4,"1,275","5,834","4,510","3,243",8.6,39.3,30.3,21.8,"1,971",9.1,640,12.1,448,"63,230",10820,11145,139,163,10563,10886,204,198,84,96,101,128,21,16,740,693
IA,Wayne County,"6,403","6,441",80,88,0,43,43,12.5,13.7,758,"2,169","1,222",573,16.1,45.9,25.9,12.1,528,"1,936","1,346",553,12.1,44.4,30.9,12.7,"1,211",19.1,460,28.9,304,"49,962",3201,3240,48,43,3158,3196,48,33,27,19,20,34,1,1,56,50
IA,Webster County,"38,011","35,904",421,418,28,-467,-439,11.7,11.6,"4,094","9,569","7,935","4,383",15.8,36.8,30.5,16.9,"2,349","8,347","9,046","4,912",9.5,33.9,36.7,19.9,"4,005",12.1,"1,175",15.5,797,"53,344",18566,17338,388,371,17077,16441,1417,793,193,174,275,298,25,24,1068,900
IA,Winnebago County,"10,874","10,354",95,119,1,-162,-161,9.1,11.4,990,"2,956","2,547","1,279",12.7,38.0,32.8,16.5,538,"2,428","2,603","1,548",7.6,34.1,36.6,21.8,"1,011",10.2,304,13.6,207,"50,258",5109,5245,87,75,4942,5081,143,114,44,42,69,83,2,3,283,245
IA,Winneshiek County,"21,058","19,991",174,187,4,-16,-12,8.7,9.3,"2,050","4,794","3,385","2,635",15.9,37.3,26.3,20.5,632,"4,382","4,197","4,054",4.8,33.0,31.6,30.6,"1,549",8.6,313,8.5,224,"65,482",9956,10035,89,84,9718,9821,137,114,46,37,139,150,8,5,278,196
IA,Woodbury County,"102,175","103,107","1,390",900,100,7,107,13.5,8.8,"12,049","22,747","17,862","12,274",18.6,35.0,27.5,18.9,"8,510","21,167","20,924","15,217",12.9,32.2,31.8,23.1,"12,882",12.8,"4,201",16.1,"3,020","58,419",51335,51772,1539,1530,45343,46233,3535,2877,2057,2121,1795,1908,330,336,9241,8677
IA,Worth County,"7,591","7,381",77,69,0,-40,-40,10.4,9.3,767,"2,170","1,845",694,14.0,39.6,33.7,12.7,353,"1,921","2,080",921,6.7,36.4,39.4,17.5,711,9.8,217,14.5,153,"60,139",3744,3637,57,48,3666,3564,68,45,37,37,29,39,3,3,129,120
IA,Wright County,"13,229","12,562",154,161,11,-132,-121,12.2,12.8,"1,542","3,867","3,138","1,335",15.6,39.1,31.8,13.5,677,"3,264","3,384","1,526",7.6,36.9,38.2,17.2,"1,364",11.0,446,14.9,323,"54,251",6314,6248,102,79,6138,6093,121,102,78,65,69,56,17,16,875,788
KS,Kansas,"2,853,123","2,913,314","35,457","25,230","4,104","-12,357","-8,253",12.2,8.7,"237,799","507,612","516,818","438,978",14.0,29.8,30.4,25.8,"172,126","492,807","602,276","635,070",9.0,25.9,31.7,33.4,"319,931",11.3,"97,920",14.3,"64,613","62,028",,,,,,,,,,,,,,,,
KS,Allen County,"13,372","12,369",138,161,8,-115,-107,11.1,12.9,"1,567","3,328","2,987","1,410",16.9,35.8,32.1,15.2,693,"2,830","3,297","1,740",8.1,33.1,38.5,20.3,"2,067",17.3,638,24.0,395,"46,690",6089,6280,182,193,5817,5988,234,213,133,164,86,113,7,8,248,221
KS,Anderson County,"8,102","7,858",102,96,-4,8,4,13.0,12.2,989,"2,310","1,523",637,18.1,42.3,27.9,11.7,469,"2,196","1,616",944,9.0,42.0,30.9,18.1,982,12.7,265,13.4,207,"51,352",3905,3953,69,82,3830,3867,57,47,56,80,31,42,2,2,79,84
KS,Atchison County,"16,921","16,073",162,170,-2,-90,-92,10.0,10.5,"1,590","4,309","2,609","1,867",15.3,41.5,25.1,18.0,736,"3,889","3,276","2,234",7.3,38.4,32.3,22.0,"2,051",13.8,596,16.6,408,"51,860",7808,8265,225,230,7275,7771,541,509,137,139,76,72,14,12,277,235
KS,Barber County,"4,864","4,427",50,48,1,-41,-40,11.2,10.8,518,"1,196","1,165",767,14.2,32.8,32.0,21.0,285,"1,085","1,181",665,8.9,33.7,36.7,20.7,593,13.6,202,20.0,140,"50,660",2271,2156,47,38,2202,2097,48,33,58,44,10,18,1,2,99,107
KS,Barton County,"27,672","25,779",271,304,5,-250,-245,10.5,11.7,"3,240","5,734","6,254","3,037",17.7,31.4,34.2,16.6,"1,879","5,714","6,530","3,736",10.5,32.0,36.6,20.9,"3,345",13.4,"1,004",17.0,657,"50,754",12772,13007,259,204,12329,12587,360,334,261,215,66,65,21,19,2072,1868
KS,Bourbon County,"15,172","14,534",175,146,9,-46,-37,12.0,10.0,"1,573","3,161","3,457","1,774",15.8,31.7,34.7,17.8,827,"3,000","3,637","2,066",8.7,31.5,38.2,21.7,"2,185",15.6,803,22.2,547,"47,452",7162,7372,200,208,6704,7040,397,252,158,158,99,129,13,9,231,179
KS,Brown County,"9,984","9,564",125,121,-1,-49,-50,13.0,12.6,"1,091","2,768","1,873","1,348",15.4,39.1,26.5,19.0,445,"2,446","2,269","1,388",6.8,37.4,34.7,21.2,"1,454",15.4,484,20.5,307,"47,558",4721,4843,155,147,4141,4280,144,129,540,533,51,49,6,4,264,241
KS,Butler County,"65,884","66,911",731,637,20,-34,-14,10.9,9.5,"4,759","12,128","13,005","7,668",12.7,32.3,34.6,20.4,"3,293","11,330","16,152","13,044",7.5,25.9,36.9,29.8,"5,460",8.5,"1,679",10.1,989,"66,199",33634,33277,822,915,31636,31965,1413,706,774,794,606,694,59,65,1848,1595
KS,Chase County,"2,790","2,648",18,14,0,44,44,6.9,5.3,268,827,578,408,12.9,39.7,27.8,19.6,149,529,678,464,8.2,29.1,37.3,25.5,285,11.4,80,15.6,56,"51,022",1361,1287,32,17,1313,1270,47,10,26,18,7,7,2,0,76,51
KS,Chautauqua County,"3,669","3,250",28,40,0,-42,-42,8.5,12.2,580,"1,247",854,377,19.0,40.8,27.9,12.3,320,832,857,379,13.4,34.8,35.9,15.9,518,16.4,153,24.7,102,"43,664",1655,1595,81,75,1542,1479,47,45,132,135,13,12,3,1,63,68
KS,Cherokee County,"21,607","19,939",212,264,10,-54,-44,10.6,13.2,"2,890","5,717","4,437","1,660",19.7,38.9,30.2,11.3,"1,403","4,536","5,204","2,716",10.1,32.7,37.5,19.6,"3,016",15.4,928,20.9,621,"47,682",9840,10099,410,434,9177,9491,194,153,733,776,82,84,74,37,265,269
KS,Cheyenne County,"2,726","2,657",28,43,2,24,26,10.6,16.2,327,806,764,360,14.5,35.7,33.9,16.0,123,590,645,552,6.4,30.9,33.8,28.9,301,11.6,99,18.3,67,"47,323",1338,1319,9,13,1312,1286,13,7,8,13,14,26,0,1,93,96
KS,Clark County,"2,215","1,994",23,22,0,-1,-1,11.5,11.0,206,452,620,362,12.6,27.6,37.8,22.1,74,384,586,369,5.2,27.2,41.5,26.1,238,12.4,88,18.3,60,"59,085",984,1010,17,32,938,982,13,15,26,29,21,16,3,0,116,104
KS,Clay County,"8,545","8,002",92,106,1,13,14,11.5,13.2,783,"2,380","1,871",992,13.0,39.5,31.0,16.5,403,"1,987","1,747","1,505",7.1,35.2,31.0,26.7,780,10.0,275,15.1,194,"52,781",3970,4032,78,85,3867,3942,84,57,56,73,37,42,7,5,110,110
KS,Cloud County,"9,533","8,786",98,124,5,74,79,11.2,14.2,"1,000","2,631","2,032","1,246",14.5,38.1,29.4,18.0,423,"1,894","2,246","1,438",7.0,31.6,37.4,24.0,"1,123",13.5,355,17.8,232,"46,299",4359,4427,77,98,4190,4321,91,83,54,82,96,39,7,4,149,148
KS,Coffey County,"8,598","8,179",96,84,1,-67,-66,11.7,10.2,775,"2,409","1,555","1,193",13.1,40.6,26.2,20.1,425,"1,871","2,105","1,432",7.3,32.1,36.1,24.5,903,11.2,211,12.1,145,"62,715",4042,4137,74,67,3925,3999,69,59,71,90,50,52,2,6,109,119
KS,Comanche County,"1,891","1,700",20,15,-1,-40,-41,11.6,8.7,125,535,562,218,8.7,37.2,39.0,15.1,76,435,537,200,6.1,34.9,43.0,16.0,187,11.6,58,15.1,36,"47,854",828,872,16,17,815,846,11,10,12,22,6,7,0,4,70,65
KS,Cowley County,"36,309","34,908",393,413,19,-240,-221,11.2,11.8,"3,347","7,143","8,294","4,198",14.6,31.1,36.1,18.3,"2,180","6,984","9,099","5,084",9.3,29.9,39.0,21.8,"4,416",13.5,"1,452",18.3,968,"51,537",17553,17355,658,585,16102,16106,875,638,730,684,418,425,105,102,2085,1835
KS,Crawford County,"39,135","38,818",448,361,85,-268,-183,11.5,9.3,"3,616","7,181","7,007","5,591",15.5,30.7,30.0,23.9,"1,837","6,808","7,666","6,950",7.9,29.3,33.0,29.9,"6,828",18.5,"1,655",20.2,"1,095","42,723",19373,19445,549,507,18178,18286,764,636,444,470,455,489,97,85,1209,1165
KS,Decatur County,"2,965","2,827",31,39,4,-29,-25,10.9,13.7,337,991,769,382,13.6,40.0,31.0,15.4,129,760,774,484,6.0,35.4,36.1,22.5,361,13.2,124,22.8,87,"46,878",1418,1409,22,23,1394,1376,29,26,13,21,4,11,0,0,44,48
KS,Dickinson County,"19,749","18,466",198,199,2,-217,-215,10.7,10.7,"1,795","5,164","4,201","1,996",13.6,39.3,31.9,15.2,"1,115","4,327","4,617","2,985",8.5,33.2,35.4,22.9,"1,764",9.8,574,13.7,405,"58,066",9252,9214,246,229,8935,8965,248,179,193,173,108,117,21,14,472,423
KS,Doniphan County,"7,948","7,600",69,71,1,-57,-56,9.0,9.3,"1,026","1,902","1,482",766,19.8,36.7,28.6,14.8,484,"1,839","1,623","1,057",9.7,36.8,32.4,21.1,810,11.4,222,14.4,148,"52,596",3835,3765,88,87,3591,3611,222,119,88,90,25,32,2,1,99,110
KS,Douglas County,"110,826","122,259","1,107",687,387,342,729,9.1,5.6,"4,069","11,859","14,597","22,732",7.6,22.3,27.4,42.7,"3,231","12,818","19,072","34,607",4.6,18.4,27.4,49.6,"17,127",15.1,"2,679",12.4,"1,639","62,559",60854,61405,2557,2593,52713,53988,4264,3716,2574,2642,3896,3698,181,149,3990,3957
KS,Edwards County,"3,037","2,798",25,21,2,-28,-26,8.9,7.5,447,769,775,387,18.8,32.3,32.6,16.3,309,596,826,382,14.6,28.2,39.1,18.1,322,11.7,112,17.4,74,"49,047",1436,1362,36,30,1370,1296,40,38,49,52,12,7,1,1,314,277
KS,Elk County,"2,882","2,530",23,33,0,58,58,9.2,13.2,471,978,656,249,20.0,41.5,27.9,10.6,217,802,571,294,11.5,42.6,30.3,15.6,481,19.4,170,29.9,121,"41,930",1271,1259,53,41,1231,1224,30,21,48,43,15,14,2,1,68,51
KS,Ellis County,"28,452","28,553",294,248,44,-184,-140,10.3,8.7,"2,089","4,863","4,567","4,759",12.8,29.9,28.1,29.2,"1,168","4,696","5,255","6,335",6.7,26.9,30.1,36.3,"3,596",13.1,668,11.3,471,"51,237",14378,14175,263,253,13805,13653,384,294,148,152,296,318,23,16,921,774
KS,Ellsworth County,"6,497","6,102",54,68,2,-49,-47,8.8,11.1,707,"1,656","1,535",762,15.2,35.5,32.9,16.4,379,"1,552","1,708",882,8.4,34.3,37.8,19.5,490,9.6,128,12.1,87,"56,988",3460,2642,54,53,3078,2597,342,29,65,41,28,23,1,6,245,140
KS,Finney County,"36,785","36,467",613,208,105,-574,-469,16.8,5.7,"7,236","5,519","6,271","3,170",32.6,24.9,28.3,14.3,"6,238","4,772","6,838","3,673",29.0,22.2,31.8,17.1,"4,647",13.0,"1,837",17.0,"1,183","57,412",18810,17657,314,261,16582,16184,1263,625,387,323,867,765,45,32,9653,8860
KS,Ford County,"33,844","33,619",559,219,240,-842,-602,16.6,6.5,"5,614","4,305","5,651","3,062",30.1,23.1,30.3,16.4,"5,378","5,142","6,214","3,604",26.4,25.3,30.6,17.7,"4,522",13.8,"1,906",19.5,"1,279","54,604",17458,16161,269,259,16247,15249,723,444,426,385,290,311,63,47,9948,8890
KS,Franklin County,"25,996","25,544",295,250,9,-136,-127,11.5,9.8,"2,314","6,228","4,611","2,600",14.7,39.5,29.3,16.5,"1,341","6,432","5,848","3,492",7.8,37.6,34.2,20.4,"2,594",10.4,786,13.4,501,"55,984",12742,12802,358,306,12319,12433,380,288,294,276,107,110,16,9,566,517
KS,Geary County,"34,356","31,670",851,187,24,"-1,793","-1,769",26.4,5.8,"2,202","4,726","6,118","2,698",14.0,30.0,38.9,17.1,"1,138","4,560","8,331","4,247",6.2,25.0,45.6,23.2,"3,586",11.7,"1,767",18.6,"1,022","58,978",16580,15090,1021,947,12483,11274,3699,3150,485,461,799,936,273,323,2699,2449
KS,Gove County,"2,701","2,636",27,35,2,33,35,10.3,13.3,329,746,654,391,15.5,35.2,30.8,18.4,153,698,695,379,7.9,36.3,36.1,19.7,246,9.6,99,15.9,72,"52,986",1318,1318,14,19,1289,1302,19,13,9,10,15,13,2,0,43,39
KS,Graham County,"2,588","2,482",19,38,3,24,27,7.7,15.3,348,724,683,370,16.4,34.1,32.1,17.4,141,605,683,470,7.4,31.9,36.0,24.7,288,11.8,80,15.8,52,"48,912",1217,1265,34,38,1129,1186,67,60,29,33,29,26,1,0,44,53
KS,Grant County,"7,824","7,150",108,34,-9,-210,-219,15.0,4.7,"1,341","1,319","1,335",717,28.5,28.0,28.3,15.2,"1,013","1,143","1,597",655,23.0,25.9,36.2,14.9,743,10.5,333,15.8,237,"65,178",3595,3555,69,55,3404,3409,69,49,159,126,31,27,5,1,1812,1655
KS,Gray County,"6,001","5,988",94,41,16,-159,-143,15.6,6.8,933,911,"1,115",577,26.4,25.8,31.5,16.3,855,850,"1,309",764,22.6,22.5,34.6,20.2,448,7.6,163,9.6,102,"69,077",3030,2958,39,25,2942,2860,74,67,35,30,21,22,0,4,508,454
KS,Greeley County,"1,248","1,232",22,9,2,-13,-11,17.9,7.3,160,288,364,171,16.3,29.3,37.0,17.4,105,218,267,220,13.0,26.9,33.0,27.2,131,10.9,54,16.3,37,"58,492",602,630,4,6,590,619,6,6,8,8,3,3,0,1,120,121
KS,Greenwood County,"6,689","5,982",56,71,0,-14,-14,9.3,11.8,"1,020","2,064","1,485",774,19.1,38.6,27.8,14.5,335,"1,602","1,598",880,7.6,36.3,36.2,19.9,873,14.9,273,21.5,183,"44,876",2981,3001,81,79,2900,2911,51,43,97,97,17,27,0,4,133,115
KS,Hamilton County,"2,687","2,539",29,17,15,-88,-73,11.3,6.6,403,524,500,300,23.3,30.3,29.0,17.4,319,664,370,312,19.2,39.9,22.2,18.7,332,13.1,136,18.9,94,"55,857",1325,1214,23,31,1236,1157,53,44,43,36,10,6,6,2,523,416
KS,Harper County,"6,034","5,436",57,91,2,-40,-38,10.4,16.6,725,"1,743","1,371",623,16.2,39.1,30.7,14.0,401,"1,512","1,327",628,10.4,39.1,34.3,16.2,751,14.2,258,19.6,170,"47,540",2718,2718,61,61,2629,2639,47,37,71,77,24,20,11,6,195,141
KS,Harvey County,"34,684","34,429",372,332,37,172,209,10.8,9.7,"3,135","6,414","6,845","4,884",14.7,30.1,32.2,23.0,"2,169","5,397","7,618","7,543",9.5,23.7,33.5,33.2,"3,058",9.3,906,11.3,616,"62,961",16961,17468,430,446,16227,16814,553,489,377,337,222,272,27,13,2275,1903
